country,year,cereal_yield,fdi_perc_gdp,gni_per_cap,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,pop_growth_perc,pop,urb_pop_growth_perc
AGO,1991,417.4,5.44951457868676,820.0,179.271884079676,565.451027196188,4367.397,0.409948922961107,129.971142081192,15.2907279897761,12.3998220487,12193746624.6789,3.03486600826632,10653515.0,6.68703162667795
AGO,1992,397.0,4.98245984723078,470.0,193.632182661972,550.548264050147,4418.735,0.401596941172835,141.24482329234002,15.6606297788494,12.399822686,5779394291.7582,3.22698986166594,11002910.0,6.75045876038023
AGO,1993,267.8,5.71552892996989,310.0,266.31837906149,551.688878141007,5801.194,0.510140831446347,246.261769462655,16.0257392221954,12.3998233313,5285600050.3455,3.29724264602598,11371750.0,6.70077708243702
AGO,1994,298.4,4.1950181977579,190.0,260.830190038975,541.553066688467,3890.687,0.331320808382214,159.575256295082,16.0659407849469,12.3998239766,4059577145.36303,3.21217023653504,11742960.0,6.50366698870625
AGO,1995,402.2,9.37441690459021,320.0,237.623933920932,528.386164349669,11012.001,0.909698924544645,409.10654312834697,16.1344242780215,12.3998246299,5039534776.4902,3.03733523614654,12105105.0,6.22393596092553
AGO,1996,653.3,2.39899396705538,380.0,221.197556721755,531.680254723364,10491.287,0.84248925435999,350.504956641141,16.237409884182,12.3998252832,7526446605.51712,2.83122100089637,12452725.0,5.07850658610223
AGO,1997,567.3,5.36335988720076,470.0,210.613712999736,531.736161548602,7381.671,0.577043014446965,228.559162648048,16.8164879997142,12.3998259444,7675412589.45525,2.68990281015527,12792237.0,4.8877934820328
AGO,1998,701.6,17.2837359195065,460.0,197.782663612577,519.274348629747,7308.331,0.556263022552826,211.87101300112,17.4213414023846,12.3998266057,6445192203.74553,2.66904622001228,13138265.0,4.81966674210864
AGO,1999,620.3,40.1570869489255,390.0,201.808972556292,531.897946760463,9156.499,0.677678138929029,257.119866271484,18.0240127446282,12.3998266057,6154480286.73835,2.801776072338,13511575.0,4.90711699212122
AGO,2000,572.1,9.62430322660176,420.0,202.509044252484,533.443417033279,9541.534,0.685141350156283,260.097539059797,18.6077738977694,12.3998266057,9129180360.52186,3.02376551056242,13926373.0,5.08569423083599
